k,classification_report,confusion_matrix,accuracy_score
1,"{'0': {'precision': 0.15384615384615385, 'recall': 0.15384615384615385, 'f1-score': 0.15384615384615385, 'support': 13.0}, '1': {'precision': 0.7007874015748031, 'recall': 0.6544117647058824, 'f1-score': 0.6768060836501901, 'support': 136.0}, '2': {'precision': 0.7444444444444445, 'recall': 0.783625730994152, 'f1-score': 0.7635327635327636, 'support': 171.0}, 'accuracy': 0.703125, 'macro avg': {'precision': 0.5330259999551338, 'recall': 0.5306278831820627, 'f1-score': 0.5313950003430358, 'support': 320.0}, 'weighted avg': {'precision': 0.7018971456692913, 'recall': 0.703125, 'f1-score': 0.7019054060641514, 'support': 320.0}}","[[  2   7   4]
 [  5  89  42]
 [  6  31 134]]",0.703125
3,"{'0': {'precision': 0.15384615384615385, 'recall': 0.15384615384615385, 'f1-score': 0.15384615384615385, 'support': 13.0}, '1': {'precision': 0.624, 'recall': 0.5735294117647058, 'f1-score': 0.5977011494252874, 'support': 136.0}, '2': {'precision': 0.6978021978021978, 'recall': 0.7426900584795322, 'f1-score': 0.7195467422096318, 'support': 171.0}, 'accuracy': 0.646875, 'macro avg': {'precision': 0.4918827838827839, 'recall': 0.49002187469679725, 'f1-score': 0.49036468182702436, 'support': 320.0}, 'weighted avg': {'precision': 0.6443380494505495, 'recall': 0.646875, 'f1-score': 0.6447807788740191, 'support': 320.0}}","[[  2   8   3]
 [  6  78  52]
 [  5  39 127]]",0.646875
5,"{'0': {'precision': 0.5, 'recall': 0.07692307692307693, 'f1-score': 0.13333333333333333, 'support': 13.0}, '1': {'precision': 0.6044776119402985, 'recall': 0.5955882352941176, 'f1-score': 0.6, 'support': 136.0}, '2': {'precision': 0.6956521739130435, 'recall': 0.7485380116959064, 'f1-score': 0.7211267605633803, 'support': 171.0}, 'accuracy': 0.65625, 'macro avg': {'precision': 0.600043261951114, 'recall': 0.4736831079710337, 'f1-score': 0.48482003129890455, 'support': 320.0}, 'weighted avg': {'precision': 0.6489546155094095, 'recall': 0.65625, 'f1-score': 0.6457687793427229, 'support': 320.0}}","[[  1  10   2]
 [  1  81  54]
 [  0  43 128]]",0.65625
7,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.5939849624060151, 'recall': 0.5808823529411765, 'f1-score': 0.587360594795539, 'support': 136.0}, '2': {'precision': 0.6844919786096256, 'recall': 0.7485380116959064, 'f1-score': 0.7150837988826816, 'support': 171.0}, 'accuracy': 0.646875, 'macro avg': {'precision': 0.4261589803385469, 'recall': 0.4431401215456943, 'f1-score': 0.43414813122607354, 'support': 320.0}, 'weighted avg': {'precision': 0.6182190100920751, 'recall': 0.646875, 'f1-score': 0.6317511578160371, 'support': 320.0}}","[[  0  11   2]
 [  0  79  57]
 [  0  43 128]]",0.646875
9,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.5912408759124088, 'recall': 0.5955882352941176, 'f1-score': 0.5934065934065934, 'support': 136.0}, '2': {'precision': 0.6885245901639344, 'recall': 0.7368421052631579, 'f1-score': 0.711864406779661, 'support': 171.0}, 'accuracy': 0.646875, 'macro avg': {'precision': 0.42658848869211435, 'recall': 0.4441434468524252, 'f1-score': 0.43509033339541814, 'support': 320.0}, 'weighted avg': {'precision': 0.6192077001316262, 'recall': 0.646875, 'f1-score': 0.6326003445706835, 'support': 320.0}}","[[  0  11   2]
 [  0  81  55]
 [  0  45 126]]",0.646875
11,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.6090225563909775, 'recall': 0.5955882352941176, 'f1-score': 0.6022304832713755, 'support': 136.0}, '2': {'precision': 0.6989247311827957, 'recall': 0.7602339181286549, 'f1-score': 0.7282913165266106, 'support': 171.0}, 'accuracy': 0.659375, 'macro avg': {'precision': 0.43598242919125774, 'recall': 0.4519407178075909, 'f1-score': 0.4435072665993287, 'support': 320.0}, 'weighted avg': {'precision': 0.6323224896919719, 'recall': 0.659375, 'f1-score': 0.6451286276592422, 'support': 320.0}}","[[  0  11   2]
 [  1  81  54]
 [  0  41 130]]",0.659375
13,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.6194029850746269, 'recall': 0.6102941176470589, 'f1-score': 0.6148148148148148, 'support': 136.0}, '2': {'precision': 0.7043010752688172, 'recall': 0.7660818713450293, 'f1-score': 0.7338935574229691, 'support': 171.0}, 'accuracy': 0.66875, 'macro avg': {'precision': 0.4412346867811481, 'recall': 0.45879199633069606, 'f1-score': 0.44956945741259463, 'support': 320.0}, 'weighted avg': {'precision': 0.6396071557534906, 'recall': 0.66875, 'f1-score': 0.6534706660441955, 'support': 320.0}}","[[  0  11   2]
 [  0  83  53]
 [  0  40 131]]",0.66875
15,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.625, 'recall': 0.625, 'f1-score': 0.625, 'support': 136.0}, '2': {'precision': 0.7119565217391305, 'recall': 0.7660818713450293, 'f1-score': 0.7380281690140845, 'support': 171.0}, 'accuracy': 0.675, 'macro avg': {'precision': 0.44565217391304346, 'recall': 0.46369395711500977, 'f1-score': 0.4543427230046948, 'support': 320.0}, 'weighted avg': {'precision': 0.6460767663043478, 'recall': 0.675, 'f1-score': 0.6600088028169014, 'support': 320.0}}","[[  0  11   2]
 [  0  85  51]
 [  0  40 131]]",0.675
20,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.6338028169014085, 'recall': 0.6617647058823529, 'f1-score': 0.6474820143884892, 'support': 136.0}, '2': {'precision': 0.7303370786516854, 'recall': 0.7602339181286549, 'f1-score': 0.7449856733524355, 'support': 171.0}, 'accuracy': 0.6875, 'macro avg': {'precision': 0.454713298517698, 'recall': 0.4739995413370026, 'f1-score': 0.46415589591364154, 'support': 320.0}, 'weighted avg': {'precision': 0.659640073587593, 'recall': 0.6875, 'f1-score': 0.6732815753128156, 'support': 320.0}}","[[  0  11   2]
 [  0  90  46]
 [  0  41 130]]",0.6875
25,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.6115107913669064, 'recall': 0.625, 'f1-score': 0.6181818181818182, 'support': 136.0}, '2': {'precision': 0.7071823204419889, 'recall': 0.7485380116959064, 'f1-score': 0.7272727272727273, 'support': 171.0}, 'accuracy': 0.665625, 'macro avg': {'precision': 0.4395643706029651, 'recall': 0.45784600389863545, 'f1-score': 0.4484848484848485, 'support': 320.0}, 'weighted avg': {'precision': 0.6377926388171231, 'recall': 0.665625, 'f1-score': 0.6513636363636364, 'support': 320.0}}","[[  0  11   2]
 [  0  85  51]
 [  0  43 128]]",0.665625
30,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13.0}, '1': {'precision': 0.6099290780141844, 'recall': 0.6323529411764706, 'f1-score': 0.6209386281588448, 'support': 136.0}, '2': {'precision': 0.7094972067039106, 'recall': 0.7426900584795322, 'f1-score': 0.7257142857142858, 'support': 171.0}, 'accuracy': 0.665625, 'macro avg': {'precision': 0.43980876157269827, 'recall': 0.45834766655200093, 'f1-score': 0.4488843046243769, 'support': 320.0}, 'weighted avg': {'precision': 0.6383574279884305, 'recall': 0.665625, 'f1-score': 0.6517024883960805, 'support': 320.0}}","[[  0  11   2]
 [  0  86  50]
 [  0  44 127]]",0.665625
